Identifier,Remarks,en enu eng enc ena enz eni ens enj enb enl ent enw,default,de,es,ru,ptb pt br,it,tr trk,fr,cs,pl plk
CLERKCONV42,,,"\cCNothing new here, unfortunately. I do have some crazy chems I recently retrieved, but they're in my selection of \cFtools\cC. On the other hand, I take it you're already familiar with all of these things on the meds shelf, so take your pick.","\cCNichts Neues hier, leider. Ich habe zwar ganz guten Stoff, den ich kürzlich angefordert habe, aber das ist in meiner Auswahl an \cFWerkzeugen\cC. Andererseits nehme ich an, dass du all diese Dinge im Medikamentenregal schon kennst, also such dir was aus.","\cCNo hay nada nuevo aquí, lamentablemente. Tengo algunos químicos locos que recuperé recientemente, pero están en mi selección de \cFherramientas\cC. Por otro lado, supongo que ya estás familiarizado con todas estas cosas en el estante de medicamentos, así que elige.","\cCЗдесь, собственно, ничего нового. У меня есть новые чокнутые химикаты, но их рука не поднимается засунуть рядом с лекарствами, они в разделе \cFинструментов\cC. С тем, что лежит на медицинской полке, ты уже давно знаком; выбирай, что нужно.","Infelizmente, nada de novo por aqui. Tenho alguns produtos químicos estranhos que consegui recentemente, mas eles estão na minha seleção de ferramentas. Por outro lado, presumo que você já esteja familiarizado com todas essas coisas na prateleira de medicamentos, então escolha o que preferir.","\cCSfortunatamente, niente di nuovo qui. Ho qualche sostanza pazzesca che ho ritirato recentemente, ma sono nella mia selezione speciale di \cFstrumenti\cC. Dall' altra parte, suppongo che tu sia già familiare con tutte queste sullo scaffale medico, quindi fai la tua scelta.","Maalesef burada yeni bir şey yok. Son zamanlarda edindiğim bazı tuhaf kimyasallarım var ama bunlar \cFaraçlarım\cC arasında. Öte yandan, ilaç rafındaki tüm bu şeylere zaten aşina olduğunuzu varsayıyorum, bu yüzden istediğinizi seçin.","\cCRien de nouveau, malheureusement. J'ai quelques seringues dingues que j'ai récupérées, elles sont dans ma sélection d'\cFoutils\cC. Et aussi, vous connaissez toutes mon étagère à médicaments non? Alors faites votre choix.","\cCBohužel teď nic nového nemám. Sice mám nějakou šílenou chemii, kterou jsem nedávno obdržel, ale je v nabídce \cFnástrojů\cC. Jinak s nabídkou léčivých prostředků jsi asi už plně seznámen, takže si stačí jen vybrat.","\cCNie ma tu niestety nic nowego.Mam kilka szalonych chemii, które niedawno odzyskałem, ale są one w moim wyborze \cFnarzędzi\cC. Z drugiej strony, rozumiem, że znasz już wszystkie te rzeczy na półce z lekarstwami, więc wybierz."
,,,,,,,,,,,,
,"Chapter 2, before and after C2M5",,,,,,,,,,,
CLERKCONV52,Intro to shop conversation after C2M4/before C2M5,,"\cCHey, \cPWill\cC. Nice to see you today. \cQGen. Miller\cC told me that you'll be getting one of our one-of-a-kind \cFKarabiner\cC sniper rifles for your next mission, so if you're looking for one, you're actually in luck. It'd just be a waste of hard-earned money to buy one right before the mission, so I'm not gonna sell you one today. Everything else is fair game, so have a look.","\cCHey, \cPWill\cC. Schön, dich heute zu sehen. \cQGeneral Miller\cC hat mir mitgeteilt, dass du für deinen nächsten Auftrag eines unserer \cFKarabiner\cC-Scharfschützengewehre aus dem Quartierbestand bekommst. Wenn du also eins suchst, hast du Glück. Spar dir dein hart verdientes Geld; kurz vor dem Einsatz noch eins zu kaufen, wäre reine Verschwendung. Den üblichen Rest gibt's zu fairen Preisen, also sieh dich ruhig um.","\cCHola, \cPWill\cC. Que bueno verte hoy. \cQGen. Miller\cC me dijo que obtendría uno de nuestros rifles de francotirador con \cFmosquetón\cC únicos en su clase para tu próxima misión, así que si estás buscando uno, en realidad estás de suerte. Sería una pérdida del dinero ganado con tanto esfuerzo comprar uno justo antes de la misión, así que no te venderé uno hoy. Todo lo demás es juego limpio, así que échale un vistazo.","\cCПривет, \cPУилл\cC. Рад тебя видеть. \cQГенерал Миллер\cC сказал мне, что на следующее задание тебе выдадут одну из наших \cFснайперок\cC, так что если не терпится из неё пострелять, то тебе повезло. Мне нет смысла продавать тебе винтовки перед этим заданием, но всё остальное — пожалуйста, выбирай и покупай, сколько захочешь.","\cCEi, \cPWill\cC. Que bom te ver hoje. O \cQGen. Miller\cC me disse que você receberá um dos nossos rifles de precisão \cFKarabiner\cC exclusivos para sua próxima missão, então, se você está procurando um, está com sorte. Seria um desperdício do seu suado dinheiro comprar um pouco antes da missão, então não vou te vender um hoje. Tudo o resto está liberado, então dê uma olhada.","\cCEhi, \cPWill\cC. Piacere di vederti oggi. Il \cQGen. Miller\cC mi ha detto che riceverai uno dei nostri unici fucili di precisione \cFKarabiner\cC per la tua prossima missione, quindi se ne stai cercando uno, sei davvero fortunato. Sarebbe solo uno spreco di denaro duramente guadagnato comprarne uno proprio prima della missione, quindi non ve ne venderò uno oggi. Tutto il resto è in vendita, quindi dai un'occhiata.","Merhaba Will. Seni bugün görmek güzel. General Miller bana bir sonraki görevin için eşsiz Karabiner keskin nişancı tüfeklerimizden birini alacağını söyledi, bu yüzden eğer bir tane arıyorsan şanslısın. Görevden hemen önce satın almak, kazanılmış paranın boşa harcanması olurdu, bu yüzden bugün sana satmayacağım. Diğer her şey serbest, bir göz at.","\cCAh, \cPWill\cC. Comment allez-vous? Le \cQGén. Miller\cC m'a dit qu'il vous faudrait une de nos belles \cFKarabiner\cC pour tireurs d'élite, pour la prochaine mission. Alors si vous en cherchez une, c'est ici. Et puis c'est cadeau, il ne faut pas gaspiller votre argent pour cette mission importante. Mais tout le reste, il faudra payer.","\cCHey, \cPWille\cC. Rád tě vidím. \cQGen. Miller\cC mi řekl, že na svoji další misi dostaneš přidělený jeden z našich nejlepších \cFKarabinerů\cC; jediný svého druhu. Takže jestli nějaký sháníš, máš vlastně štěstí. Byla by škoda utrácet tu těžce vydělanou tvrdou měnu před touto misí, takže ti teď žádný nedám. Ale jestli potřebuješ cokoliv jiného...","\cCHej, \cPWill\cC. Miło cię widzieć dzisiaj. \cQGen. Miller\cC powiedział mi, że na następną misję dostaniesz jeden z naszych jedynych w swoim rodzaju \cFkarabinów\cC snajperskich Karabiner, więc jeśli go szukasz, masz szczęście. Byłoby stratą ciężko zarobionych pieniędzy, gdybyś kupił jeden tuż przed misją, więc nie zamierzam ci dziś go sprzedać. Wszystko inne jest uczciwą grą, więc spójrz."
CLERKCONV53,Intro to shop conversation after C2M5/before C2M6,"\cCHey, \cPWill\cC. Looks like today's mission will be a pretty long and important one, so you'd best make sure you're stocked up and ready to kick some Kraut arse. I've got guns, tools, crazy chemicals, medical supplies... Basically, anything you might need. Have a look, and choose wisely, because you won't be coming back for a while.","\cCHey, \cPWill\cC. Looks like today's mission will be a pretty long and important one, so you'd best make sure you're stocked up and ready to kick some Kraut ass. I've got guns, tools, crazy chemicals, medical supplies... Basically, anything you might need. Have a look, and choose wisely, because you won't be coming back for a while.","\cCHey, \cPWill\cC. Sieht so aus, als ob der nächste Auftrag eine Materialschlacht wird, also stell' am besten sicher, dass du ausreichend Ausrüstung mit dir hast, um den Krauts in den Hintern zu treten. Ich habe Waffen, Werkzeuge, verrückte Chemikalien, medizinische Hilfsmittel... Im Grunde alles, was du brauchen könntest. Sieh dich um und nimm soviel mit wie geht, das könnte die letzte Gelegenheit für eine ganze Weile sein.","\cCOye \cPWill\cC. Parece que la misión de hoy será bastante larga e importante, por lo que será mejor que te asegures de estar abastecido y listo para patear traseros de Kraut. Tengo pistolas, herramientas, químicos locos, suministros médicos ... Básicamente, cualquier cosa que puedas necesitar. Eche un vistazo y elija sabiamente, porque no volverá por un tiempo.","\cCЗдорово, \cPУилл\cC. Судя по всему, тебе предстоит важное и длинное задание, так что запасись чем нужно, чтобы надрать фрицам задницы. У меня есть оружие, инструменты, химикаты, медпрепараты... в общем, всё что надо. Выбери повнимательнее, что тебе пригодится, потому что возвращаться тебе придётся нескоро.","\cCEi, \cPWill\cC. Parece que a missão de hoje vai ser bem longa e importante, então é melhor você se preparar e estar pronto para chutar alguns traseiros alemães. Eu tenho armas, ferramentas, produtos químicos potentes, suprimentos médicos... Basicamente, tudo o que você possa precisar. Dê uma olhada e escolha com sabedoria, porque você não vai voltar tão cedo.","\cCEhi, \cPWill\cC. Sembra che la missione di oggi sarà piuttosto lunga ed importante, quindi è meglio che ti assicuri di essere rifornito e pronto a prendere a calci qualche culo crucco. Ho pistole, attrezzi, prodotti chimici assurdi, forniture mediche... Fondamentalmente, tutto ciò di cui potresti aver bisogno. Dai un'occhiata, e scegli saggiamente, perché non tornerai per un pò.","\cCHey, \cPWill\cC. Bugünkü görev oldukça uzun ve önemli olacak gibi görünüyor, bu yüzden Almanların hakkından gelmeye hazır olmak için yeterince malzeme stokladığından emin olsan iyi olur. Silahlarım, aletlerim, çılgın kimyasallarım, tıbbi malzemelerim var... Kısacası, ihtiyacın olabilecek her şey. Bir göz at ve akıllıca seçim yap, çünkü bir süre geri dönmeyeceksin.","\cCHéé, \cPWill\cC! On dirait que la mission d'aujourd'hui ça sera un gros morceau. Vous feriez mieux de bien vous remplir les poches avant d'aller botter le cul des Allemands. Des flingues, des outils, des produits chimiques, des soins médicaux... En gros, j'ai tout ce dont vous pourriez avoir besoin. Regardez donc, et choisissez bien, vous n'allez pas revenir de sitôt.","\cCHey, \cPWille\cC. Vypadá to, že dnešní mise bude pěkně dlouhá a důležitá, tak se raději pořádně zásob, abys mohl nakopat ty skopčácké zadky. Mám zbraně, nářadí, šílené chemikálie, zdravotní zásoby... jednoduše vše, co bys mohl potřebovat. V klidu se rozhlédni a vyber moudře, protože se na nějakou dobu jen tak nevrátíš.","\cCHej, \cPWill\cC. Wygląda na to, że dzisiejsza misja będzie dość długa i ważna, więc najlepiej upewnij się, że jesteś zaopatrzony i gotowy do skopania tyłka Szwabowi. Mam broń, narzędzia, szalone chemikalia, środki medyczne ... Właściwie wszystko, czego możesz potrzebować. Rozejrzyj się i wybierz mądrze, bo przez chwilę nie wrócisz."
CLERKCONV54,Weapons shelf dialogue before C2M5,,"\cCOn my weapons shelf, I have land mines and \cFKarabiner\cC sniper rifles. You'll be getting one of the sniper rifles for free on your next mission, so it would be dumb to spend your money on one, no? Anyway, just let me know if you wanna buy a mine or two, and I'll be glad to do business with you.","\cCIn meinem Waffenregal habe ich Landminen und \cFKarabiner\cC-Scharfschützengewehre. Du bekommst eines der heiß begehrten Gewehre bei deinem nächsten Auftrag umsonst, also spar dir dein Geld Kumpel. Wenn du die ein oder andere Mine kaufen willst, dann komm' ich gerne mit dir ins Geschäft-","\cCEn mi estante de armas, tengo minas terrestres y rifles de francotirador con \cFmosquetón\cC. Obtendrá uno de los rifles de francotirador gratis en su próxima misión, por lo que sería una tontería gastar su dinero en uno, ¿no? De todos modos, avíseme si quiere comprar una mina o dos, y estaré encantado de hacer negocios con usted.","\cCВ оружейном шкафу у меня лежат мины и \cFснайперские винтовки\cC. Винтовку тебе выдадут перед заданием, так что глупо было бы тратиться на неё, не правда ли? Если хочешь купить пару-тройку мин, я буду рад заключить сделку.","\cCNa minha prateleira de armas, tenho minas terrestres e rifles de precisão tipo carabina. Você vai ganhar um desses rifles de precisão de graça na sua próxima missão, então seria bobagem gastar seu dinheiro com um, não é? Enfim, me avise se quiser comprar uma ou duas minas, e terei prazer em negociar com você.","\cCSul mio scaffale delle armi, ho mine terrestri e fucili di precisione \cFKarabiner\cC. Avrai uno dei fucili da cecchino gratis nella tua prossima missione, quindi sarebbe stupido spendere i tuoi soldi per uno, no? Comunque, fammi sapere se vuoi comprare una mina o due, e sarò felice di fare affari con te.","\cCSilah rafımda kara mayınları ve \cFKarabina\cC keskin nişancı tüfekleri var. Bir sonraki görevinizde keskin nişancı tüfeklerinden birini ücretsiz alacaksınız, bu yüzden paranızı ona harcamanız aptalca olur, değil mi? Neyse, bir veya iki mayın satın almak isterseniz bana haber verin, sizinle iş yapmaktan memnuniyet duyarım.","\cCSur mon étagère, j'ai des mines, et des fusils \cFKarabiner\c.Vous allez en avoir une Karabiner gratuitement pendant la mission, donc ne gaspillez pas votre argent. Mais dîtes-moi, et si vous voulez une mine, je serai ravi de vous en vendre.","\cCNa poličce se zbraněmi mám nášlapné miny a sniperovky \cFKarabiner\cC. Na misi dostaneš jednu zdarma, byla by blbost za to utrácet, ne? Takže mi jen řekni, jestli budeš potřebovat nějakou tu minu, a já ti s radostí nějakou dám.","\cCNa półce z bronią mam miny lądowe i \cFkarabiny\cC snajperskie Karabiner. Jeden z karabinów snajperskich dostaniesz za darmo podczas następnej misji, więc byłoby głupio wydać na niego pieniądze, prawda? W każdym razie, daj mi znać, jeśli chcesz kupić minę lub dwie, a ja z przyjemnością zrobię z tobą interesy."
,,,,,,,,,,,,
,After Astrostein is finished,,,,,,,,,,,
CLERKCONV43,,,"\cCI can offer you some landmines. Two hundred grams of TNT, proximity detonator. The explosion also blasts a vertical 45-degree cone of metal shards into enemies' faces... Damn, looks like I will write a thesis on them soon. Why are you laughing, \cPBJ\cC? Guns? No, I have nothing else on my weapon shelf, since the remaining rifles went to the 1st recon battalion...","\cCIch kann Dir ein paar Landminen anbieten. Zweihundert Gramm TNT, Zündung durch Bewegungserkennung. Die Explosion feuert in einem 45-Grad Kegel Metalsplitter in die Gesichter der Feinde... Verdammt, klingt so, als ob ich eine Doktorarbeit darüber schreiben könnte. Was gibt's da zu lachen, \cPBJ\cC? Waffen? Nein, ich habe sonst nichts anderes in meinem Regal, die verbleibenden Gewehre hat das erste Aufklärungsbattalion schon mitgenommen...","\cCPuedo ofrecerte algunas minas terrestres. Doscientos gramos de TNT, detonador de proximidad. La explosión también lanza un cono vertical de 45 grados de fragmentos de metal a las caras de los enemigos... Maldición, parece que pronto escribiré una tesis sobre ellos. ¿Por qué te ríes, \cPBJ\cC? Sí, no tengo nada más en mi estante de armas, ya que los fusiles restantes fueron al 1er batallón de reconocimiento...","\cCМогу предложить тебе мины. Двести грамм тринитротолуола, датчик приближения. Взрыв даёт вертикальный конус металлических осколков с углом 45 градусов... чёрт, скоро я по ним диссертацию напишу. Чего смеёшься, \cPБи-Джей\cC? Пушки? Нет, их у меня не осталось — снайперки-то ушли в первый разведбат...","Posso te oferecer algumas minas terrestres. Duzentos gramas de TNT, detonador de proximidade. A explosão também lança um cone vertical de 45 graus de estilhaços de metal na cara dos inimigos... Droga, parece que vou escrever uma tese sobre elas em breve. Por que você está rindo, BJ? Armas? Não, não tenho mais nada no meu arsenal, já que os fuzis restantes foram para o 1º batalhão de reconhecimento...","\cCPosso offrirti qualche mina. Duecento grammi di Dinamite, un detonatore di prossimità. L' esplosione fa saltare un cono a 45 gradi di schegge di metallo nele facce dei tuoi nemici... Diamine, sembra che presto scriverò una tesi su questi. Perché stai ridendo, \cPBJ\cC? Armi? No, non ho nient'altro sul mio scaffale delle armi, dato che i fucili rimanenti sono andati al primo battaglione di ricognizione...","\cCSize birkaç kara mayını sunabilirim. İki yüz gram TNT, yakınlık tetikleyicili. Patlama ayrıca düşmanların yüzlerine dikey 45 derecelik bir metal parçası konisi fırlatıyor... Lanet olsun, yakında bunlar hakkında bir tez yazacağım gibi görünüyor. Neden gülüyorsun, \cPBJ\cC? Silahlar mı? Hayır, silah rafımda başka bir şey yok, çünkü kalan tüfekler 1. keşif taburuna gitti...","\cCJe peux vous proposer des mines. De la TNT, avec détonateurs de proximité. L'explosion souffle des éclats de métal au visage des ennemis sur 45 degrés ... Merde, on dirait que je prépare une thèse là-dessus. Ça vous fait rire, \cPBJ\cC? Des fusils? Non, je n'ai rien d'autre sur mes étagères, depuis que j'ai donné le reste au bataillon de reconnaissance...","\cCMůžu ti nabídnout nějaké nášlapné miny. Dvě stě gramů TNT, přibližovací rozbuška. Výbuch také vrhá do vertikálního kužele 45° kovové střepy do nepřátelských ksichtů... Sakra, vypadá to, že o nich brzy napíši práci. Proč se chechtáš, \cPBJ\cC?\n\n\cCZbraně? Ne, nic dalšího nového tam nemám, protože zbylé pušky odešly prvnímu průzkumnému praporu...","\cCMogę ci zaoferować kilka min przeciwpiechotnych. Dwieście gramów trotylu, detonator zbliżeniowy. Eksplozja rozbija również pionowy stożek metalowych odłamków pod kątem 45 stopni w twarze wrogów ... Cholera, wygląda na to, że wkrótce napiszę o nich tezę. Dlaczego się śmiejesz, \cPBJ\cC? Pistolety? Nie, nie mam nic innego na mojej półce z bronią, ponieważ pozostałe karabiny trafiły do 1 batalionu zwiadowczego ..."
CLERKCONV44,,"\cCTry this piece of armour and you won't regret it, \cPBJ\cC! Imagine: it nullifies ANY damage coming at you! Just make sure you take good care of it, because I'm not coming with you to replace it with another one. Speaking of which, though, you can wear it over the armour you already have, or even put two of them on at the same time! ","\cCTry this piece of armor and you won't regret it, \cPBJ\cC! Imagine: it nullifies ANY damage coming at you! Just make sure you take good care of it, because I'm not coming with you to replace it with another one. Speaking of which, though, you can wear it over the armor you already have, or even put two of them on at the same time! ","\cCIch verspreche dir: Dieses Schutzschild wirst Du nicht bereuen, \cPBJ\cC! Stell Dir vor: es verhindert JEGLICHEN Dir zugefügten Schaden! Aber pass gut darauf auf, ich werde Dir nicht mit einem Ersatz hinterherrennen, falls Du eines davon kaputt machst. Du kannst es übrigens über deine bestehende Rüstung oder sogar zwei Stück davon gleichzeitig tragen für noch mehr Schutz!","\cC¡Prueba esta pieza de blindaje y no te arrepentirás, \cPBJ\cC! Imagina: ¡anula CUALQUIER daño que se te ocurra! Solo asegúrate de cuidarlo bien, porque no iré contigo para reemplazarlo por otro.","\cCПопробуй эту броню, не пожалеешь, \cPБи-Джей\cC! Представь, она берёт на себя ЛЮБОЙ урон, под который ты подставишься! Только не высовывайся почём зря, я не поеду с тобой на задание и не заменю её по гарантии. Кстати, ты можешь надеть её поверх любой брони, которая уже на тебе, даже поверх такого же комплекта!","\cCExperimente esta peça de armadura e você não se arrependerá, \cPBJ\cC! Imagine: ela anula QUALQUER dano que vier em sua direção! Só certifique-se de cuidar bem dela, porque eu não irei com você para substituí-la por outra. Aliás, falando nisso, você pode usá-la por cima da armadura que já possui, ou até mesmo usar duas ao mesmo tempo!","\cCProva questo pezzo di armatura e non te ne pentirai, \cPBJ\cC! Immagina: annulla QUALSIASI danno che ti viene inflitto! Soltanto assicurati di averne cura, perché non verrò con te per sostituirlo con un altro. A proposito, però, puoi indossarlo sopra l'armatura che hai già, o addirittura indossarne due contemporaneamente!","\cCBu zırhı dene, pişman olmayacaksın, \cPBJ\cC! Düşünsene: sana gelen HERHANGİ bir hasarı etkisiz hale getiriyor! Sadece ona iyi bakmaya dikkat et, çünkü onu başkasıyla değiştirmek için seninle gelmeyeceğim. Bu arada, zaten sahip olduğun zırhın üzerine giyebilirsin, hatta aynı anda iki tanesini bile giyebilirsin!","\cCEssayez donc cette protection, vous ne le regretterez pas \cPBJ\cC! Imaginez : ça absorbee TOUS les dégâts ! Par contre, il faut en prendre soin, car je ne vous accompagne pas pour la réparer. Mais vous pouvez la combiner avec une autre armure, ou même en utiliser deux à la fois.","\cCZkus tenhle kus brnění a nebudeš toho litovat, \cPBJ\cC! Jen si to představ: Nuluje jakékoliv poškození! Jen se o něj dobře starej, protože s tebou nemůžu jít do akce, abych ti jej vyměnil za nový. No, mluvě o výměně, můžeš si jej nasadit přes kterékoliv brnění, které máš již na sobě, anebo je možné si obléct i dva najednou!","\cCWypróbuj ten kawałek zbroi, a nie pożałujesz, \cPBJ\cC! Wyobraź sobie: to niweluje WSZELKIE obrażenia, które na ciebie spadają! Tylko upewnij się, że dobrze się nim zaopiekujesz, ponieważ nie jadę z tobą, aby go zastąpić innym."
,"Chapter 3, before M1",,,,,,,,,,,
CLERKCONV61,,"\cPWill\cC, is that you? I feel so sad after hearing what happened to \cQCpt. Blake\cC. He was a dear friend of mine, too... I'll tell you, \cRRyan\cC WILL pay for this, no matter where he hides his arse.\n\n\cCBy the way, I already got a summary of details for your next operation, and I don't think it would make much sense if I share my latest and greatest goodies with you before the \cRSS\cC takes you to the cleaners. Save your gold somewhere for now, we'll see what I can do for you as soon as you return from \cBSchattenau\cC.\n\n\cC...\n\n\cCYou're coming back... aren't you? - Look man, to whom else could I possibly dispense all of this stuff then? You are my best customer, heh...\n\n\cCTake care, \cPBJ\cC...","\cPWill\cC, is that you? I feel so sad after hearing what happened to \cQCpt. Blake\cC. He was a dear friend of mine, too... I'll tell you, \cRRyan\cC WILL pay for this, no matter where he hides his ass.\n\n\cCBy the way, I already got a summary of details for your next operation, and I don't think it would make much sense if I share my latest and greatest goodies with you before the \cRSS\cC takes you to the cleaners. Save your gold somewhere for now, we'll see what I can do for you as soon as you return from \cBSchattenau\cC.\n\n\cC...\n\n\cCYou're coming back... aren't you? - Look man, to whom else could I possibly dispense all of this stuff then? You are my best customer, heh...\n\n\cCTake care, \cPBJ\cC...","\cPWill\cC, bist du das? Ich bin so traurig, nachdem ich gehört habe, was mit \cQCpt. Blake\cc passiert ist. Er war auch mein Freund... Ich sag's dir, \cRRyan\cC WIRD dafür bezahlen, egal wo er seinen Hintern versteckt.\n\n\cCÜbrigens, ich habe bereits eine Zusammenfassung der Details für Deine nächste Operation. Ich denke, es würde nicht viel Sinn machen, wenn ich Dir etwas verkaufe, wenn Dich \cRSS\cC durch die Mangel nimmt. Spar Dir dein Geld erstmal irgendwo auf, wir werden sehen, was ich für Dich tun kann, sobald du aus \cBSchattenau\cC zurückkehrst.\n... Pass auf Dich auf, Kumpel, wem könnte ich denn sonst mein ganzes Zeug verticken? Du bist mein bester Kunde, haha...\n\nWir sehen uns, \cPBJ\cC...","\cPWill\cC, ¿eres tú? Me siento muy triste después de escuchar lo que le pasó a \cQCpt. Blake\cC. Él también era un querido amigo mío ... Te diré que \cRRyan\cC PAGARA por esto, sin importar dónde esconda su trasero.\n\n\cCPor cierto, ya tengo un resumen de los detalles de su próxima operación, y no creo que tenga mucho sentido si les comparto mis últimas y más grandes ventajas antes de que el \cRSS\cC lo lleve a la limpieza. Guarde su oro en alguna parte por ahora, veremos qué puedo hacer por usted tan pronto como regrese de \cBSchattenau\cC.\n\n\cC...\n\n\cCVas a volver ... ¿no? - Mira hombre, ¿a quién más podría yo dispensar todo esto entonces? Eres mi mejor cliente, je ...\n\n\cCCuídate, \cPBJ\cC ...","\cPУилл\cC, это ты? Я чувствую себя разорённым после новостей о Блейке, он был замечательным другом... Говорю тебе, \cRРайан\cC ответит за это, где бы он сейчас ни прятал свою задницу.\n\n\cCКстати, я уже кое-что разузнал о твоей следующей операции. Вряд ли тебе есть смысл что-то сейчас у меня покупать, \cRСС\cC всё равно у тебя всё заберёт. Лучше пока где-нибудь спрячь своё золото, а как вернёшься из \cBШаттенау\cC, посмотрим.\n\n...\n\nТы же вернёшься, не правда ли? Иначе куда я тогда буду девать всё своё барахло — ты ведь, братан, мой лучший покупатель!\n\nБудь осторожней, \cPБи-Джей\cC...","Will, é você? Fiquei muito triste ao saber o que aconteceu com o Capitão Blake. Ele também era um grande amigo meu... Vou te dizer, Ryan vai pagar por isso, não importa onde ele se esconda. Aliás, já tenho um resumo dos detalhes da sua próxima operação, e acho que não faria muito sentido compartilhar minhas últimas novidades com você antes que a SS te leve à falência. Guarde seu ouro em algum lugar por enquanto, veremos o que posso fazer por você assim que voltar de Schattenau. ...Você vai voltar... não vai? - Olha, cara, para quem mais eu poderia entregar tudo isso? Você é meu melhor cliente, hehe...\n\n\cCCuide-se, \cPBJ\cC...","\cPWill\cC, sei tu? Sono così dispiaciuto dopo aver sentito quanto è successo al \cQCapitano Blake\cC. Era anche un mio grande amico... Ti dirò, \cRRyan\cC LA pagherà, non importa dove nasconderà il suo culo.\n\n\cCComunque, ho già preso un sommario dei dettagli per la tua prossima operazione. Penso che non avrebbe molto senso se condivido i miei ultimi beni con te quando l' \cRSS\cC ti sta mandando sul lastrico. Risparmia il tuo oro da qualche parte per adesso, vedremo cosa posso fare appena torni da \cBSchattenau\cC.\n\n...\n\nTornerai indietro... non è vero? - Ascolta amico, altrimenti a chi potrei dare la mia roba in caso? Sei il mio miglior cliente, heh...\n\nStammi bene, \cPBJ\cC... ","Will, sen misin? Yüzbaşı Blake'e olanları duyduktan sonra çok üzüldüm. O da benim çok yakın bir arkadaşımdı... Sana söyleyeyim, Ryan nerede saklanırsa saklansın bunun bedelini ödeyecek. Bu arada, bir sonraki operasyonunla ilgili ayrıntıların özetini zaten aldım ve SS seni ele geçirmeden önce en yeni ve en iyi ganimetlerimi seninle paylaşmamın pek bir anlamı olacağını sanmıyorum. Altınlarını şimdilik bir yere sakla, Schattenau'dan döndüğünde senin için ne yapabileceğime bakacağız. ...Dönüyorsun... değil mi? - Bak dostum, tüm bu şeyleri başka kime verebilirim ki? Sen benim en iyi müşterimsin, hehe... Kendine iyi bak, BJ...","\cPWill\cC, c'est vous? Je suis en deuil pour ce qui est arrivé au \cQCapt. Blake\cC. C'était un très bon ami à moi, aussi... Je vous le dis, \cRRyan\cC VA PAYER pour ça, peu importe où il se cache.\n\n\cCMais sinon, j'ai lu un dossier pour votre prochaine opération. Je pense qu'il n'est pas judicieux de vous vendre mes équipements maintenant alors qu'on va vous envoyer vous faire embarquer par les \cRSS\cC. Non, gardez votre or pour la prochaine fois, et on se reparle quand vous rentrerez de \cBSchattenau\cC.\n\n...\n\nVous allez revenir, hein, non? Je veux dire, à qui je vendrais tout ça, vous êtes mon meilleur client...\n\nFaîtes-attention, \cPBJ\cC...","\cPWille\cC, to jsi ty? Celou dobu, co jsem slyšel o \cQCpt. Blakeovi\cC, mi je hrozně. Také to byl můj drahý přítel... Řeknu ti, \cRRyan\cC za to ZAPLATÍ, ať si tu svou prdel skrývá kdekoliv.\n\n\cCA mimochodem, už jsem dostal podrobnosti ohledně tvé další mise. Řekl bych, že nedává moc smysl, abych se s tebou dělil o své nejnovější hračky, když tě \cRSSáci\cC odvedou do čistírny. Prozatím si své zlato někde ulož, uvidíme, co pro tebe budu moci udělat, jakmile se vrátíš z \cBSchattenau\cC.\n\n\cC...\n\n\cCA ty se vrátíš... že jo? - Podívej, komu bych to tady pak všechno udal, co? Jsi můj nejlepší zákazník, heh...\n\n\cCBuď opatrný, \cPBJ\cC...","\cPWill\cC, czy to ty? Jestem bardzo smutny po usłyszeniu, co się stało z \cQkpt. Blake\cC. Był też moim drogim przyjacielem ... Powiem ci, \cRRyan\cC zapłaci za to, bez względu na to, gdzie chowa swój tyłek.\n\n\cCSwoją drogą, mam już podsumowanie szczegółów twojej następnej operacji i nie sądzę, że miałoby to sens, gdybym podzielił się z tobą moimi najnowszymi i najwspanialszymi smakołykami, zanim \cRSS\cC zabierze cię do sprzątaczek. Odłóż na razie gdzieś swoje złoto, zobaczymy, co mogę dla Ciebie zrobić, gdy tylko wrócisz z \cBSchattenau\cC.\n\n\cC ...\n\n\cCWracasz ... prawda? - Spójrz człowieku, komu jeszcze mógłbym w takim razie wydać te wszystkie rzeczy? Jesteś moim najlepszym klientem, heh ...\n\n\cCUważaj, \cPBJ\cC ..."
,,,,,,,,,,,,
,"Chapter 3, M2 through M3",,,,,,,,,,,
